2026-04-21 08:21:37,941 | INFO | app.utils.logging | Logging initialized, file=logs\app.log
2026-04-21 08:29:48,169 | INFO | app.services.agent_service | Parsing tabular file 'TEST_ANALOGS_1.xlsx'
2026-04-21 08:29:48,452 | INFO | app.services.agent_service | Parsed 1204 chars, sending to LLM
2026-04-21 08:29:48,453 | INFO | app.services.extraction_service | Sending 1204 chars of tabular text to gpt-5.4-mini
2026-04-21 08:29:52,168 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/responses "HTTP/1.1 200 OK"
2026-04-21 08:29:52,421 | INFO | app.services.extraction_service | Extracted 4 mapping groups from LLM response
2026-04-21 08:29:52,517 | INFO | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
2026-04-21 08:29:55,611 | INFO | app.repositories.sheets_repository | Appended row 13: ST30771
2026-04-21 08:29:56,887 | INFO | app.repositories.sheets_repository | Appended row 14: ST30920
2026-04-21 08:29:59,336 | INFO | app.repositories.sheets_repository | Appended row 15: ST35303
2026-04-21 08:30:00,627 | INFO | app.repositories.sheets_repository | Appended row 16: ST39026
2026-04-21 08:30:00,628 | INFO | app.services.agent_service | File 'TEST_ANALOGS_1.xlsx': extracted=4, created=4, updated=0
2026-04-21 08:33:32,271 | INFO | app.utils.logging | Logging initialized, file=logs\app.log
2026-04-21 08:33:36,320 | INFO | app.utils.logging | Logging initialized, file=logs\app.log, max_bytes=5242880, backups=5
2026-04-21 08:38:13,850 | INFO | app.utils.logging | Logging initialized, file=logs\app.log, max_bytes=5242880, backups=5
2026-04-21 08:38:16,194 | INFO | app.utils.logging | Logging initialized, file=logs\app.log, max_bytes=5242880, backups=5
2026-04-21 08:38:19,908 | INFO | app.utils.logging | Logging initialized, file=logs\app.log, max_bytes=5242880, backups=5
2026-04-21 08:50:57,714 | INFO | app.utils.logging | Logging initialized, file=logs\app.log, max_bytes=5242880, backups=5
2026-04-21 08:51:03,429 | INFO | app.utils.logging | Logging initialized, file=logs\app.log, max_bytes=5242880, backups=5
2026-04-21 08:51:05,989 | INFO | app.utils.logging | Logging initialized, file=logs\app.log, max_bytes=5242880, backups=5
2026-04-21 08:52:12,973 | INFO | app.services.agent_service | Sending image 'TEST_IMAGE.jpeg' directly to LLM
2026-04-21 08:52:12,974 | INFO | app.services.extraction_service | Sending image 'TEST_IMAGE.jpeg' (76649 bytes) to gpt-5.4-mini
2026-04-21 08:52:19,360 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/responses "HTTP/1.1 200 OK"
2026-04-21 08:52:19,742 | INFO | app.services.extraction_service | Extracted 30 mapping groups from LLM response
2026-04-21 08:52:19,878 | INFO | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
2026-04-21 08:52:23,185 | INFO | app.repositories.sheets_repository | Appended row 17: ST10917
2026-04-21 08:52:25,030 | INFO | app.repositories.sheets_repository | Appended row 18: ST20047
2026-04-21 08:52:27,344 | INFO | app.repositories.sheets_repository | Appended row 19: ST20060
2026-04-21 08:52:29,692 | INFO | app.repositories.sheets_repository | Appended row 20: ST20048
2026-04-21 08:52:31,772 | INFO | app.repositories.sheets_repository | Appended row 21: ST40137AB
2026-04-21 08:52:33,618 | INFO | app.repositories.sheets_repository | Appended row 22: ST11013
2026-04-21 08:52:35,455 | INFO | app.repositories.sheets_repository | Appended row 23: ST3064
2026-04-21 08:52:36,890 | INFO | app.repositories.sheets_repository | Appended row 24: ST10817
2026-04-21 08:52:38,276 | INFO | app.repositories.sheets_repository | Appended row 25: ST20313
2026-04-21 08:52:39,628 | INFO | app.repositories.sheets_repository | Appended row 26: ST20812
2026-04-21 08:52:41,044 | INFO | app.repositories.sheets_repository | Appended row 27: ST21350C
2026-04-21 08:52:42,947 | INFO | app.repositories.sheets_repository | Updated row 21: ST40137AB
2026-04-21 08:52:44,288 | INFO | app.repositories.sheets_repository | Appended row 28: ST138021
2026-04-21 08:52:45,625 | INFO | app.repositories.sheets_repository | Appended row 29: ST40660AB
2026-04-21 08:52:47,031 | INFO | app.repositories.sheets_repository | Appended row 30: ST20325C
2026-04-21 08:52:48,376 | INFO | app.repositories.sheets_repository | Appended row 31: ST20325
2026-04-21 08:52:49,678 | INFO | app.repositories.sheets_repository | Appended row 32: ST20706
2026-04-21 08:52:51,357 | INFO | app.repositories.sheets_repository | Updated row 26: ST20812
2026-04-21 08:52:52,672 | INFO | app.repositories.sheets_repository | Appended row 33: ST10724
2026-04-21 08:52:53,998 | INFO | app.repositories.sheets_repository | Appended row 34: ST86812
2026-04-21 08:52:55,315 | INFO | app.repositories.sheets_repository | Appended row 35: ST30067
2026-04-21 08:52:56,997 | INFO | app.repositories.sheets_repository | Updated row 22: ST11013
2026-04-21 08:52:58,342 | INFO | app.repositories.sheets_repository | Appended row 36: ST38064
2026-04-21 08:52:59,626 | INFO | app.repositories.sheets_repository | Appended row 37: ST30416
2026-04-21 08:53:01,028 | INFO | app.repositories.sheets_repository | Appended row 38: ST20754
2026-04-21 08:53:02,398 | INFO | app.repositories.sheets_repository | Appended row 39: ST17050
2026-04-21 08:53:03,733 | INFO | app.repositories.sheets_repository | Appended row 40: ST20117
2026-04-21 08:53:05,098 | INFO | app.repositories.sheets_repository | Appended row 41: ST10018
2026-04-21 08:53:06,467 | INFO | app.repositories.sheets_repository | Appended row 42: ST28251
2026-04-21 08:53:07,808 | INFO | app.repositories.sheets_repository | Appended row 43: ST40706AB
2026-04-21 08:53:07,808 | INFO | app.services.agent_service | File 'TEST_IMAGE.jpeg': extracted=30, created=27, updated=3
2026-04-21 09:03:11,181 | INFO | app.utils.logging | Logging initialized, file=logs\app.log, max_bytes=5242880, backups=5
2026-04-21 09:04:09,942 | INFO | app.services.agent_service | Sending image 'TEST_IMAGE.jpeg' directly to LLM
2026-04-21 09:04:09,943 | INFO | app.services.extraction_service | Sending image 'TEST_IMAGE.jpeg' (76649 bytes) to gpt-5.4-mini
